Species,Class,Dmin,Dmax,Dint,Vmin,Vmax,Cmin,Cmax,nmin,nmax
Prochlorococcus,Cyanophyceae,0.5,1,0.1,0.01,0.8,0.05,15,1.04,1.23
Synechococcus,Cyanophyceae,1,2,0.2,0.01,0.8,0.05,15,1.04,1.23
A. marina,Cyanophyceae,1,4,1,0.01,0.8,0.05,15,1.04,1.23
P. pinguis,Haptophyceae,5,8,1,0.01,0.8,0.05,15,1.04,1.23
T. pseudonanna2,Coscinodiscophyceae,5,8,1,0.01,0.8,0.05,15,1.04,1.23
P. lutheri,Haptophyceae,2,4,1,0.01,0.8,0.05,15,1.04,1.23
I. galbana2,Haptophyceae,4,8,1,0.01,0.8,0.05,15,1.04,1.23
E. huxleyi,Haptophyceae,4,8,1,0.01,0.8,0.05,15,1.04,1.23
P. cruentum,Rhodophyceae,5,12,1,0.01,0.8,0.05,15,1.04,1.23
C. fragarioides,Cryptophyceae,4,8,1,0.01,0.8,0.05,15,1.04,1.23
P. parvum,Haptophyceae,4,7,1,0.01,0.8,0.05,15,1.04,1.23
D. bioculata,Chlorophyceae,5,9,1,0.01,0.8,0.05,15,1.04,1.23
D. tertiolecta2,Chlorophyceae,6,10,1,0.01,0.8,0.05,15,1.04,1.23
C. curvisetum,Bacillariophyceae,6,11,1,0.01,0.8,0.05,15,1.04,1.23
H. elongata,Haptophyceae,12,18,1,0.01,0.8,0.05,15,1.04,1.23
P. micans,Dinophyceae,20,30,1,0.01,0.8,0.05,15,1.04,1.23
