Species,Class,Dmin,Dmax,Dint,Vmin,Vmax,Cmin,Cmax,nmin,nmax
D. tertiolecta1,Chlorophyceae,7,12,1,0.04,0.6,0.1,16,1.06,1.23
G. theta,Cryptophyceae,2,6,1,0.04,0.6,0.1,16,1.06,1.23
T. oceanica1,Bacillariophyceae,4,8,1,0.04,0.6,0.1,16,1.06,1.23
G. simplex,Dinophyceae,7,13,1,0.04,0.6,0.1,16,1.06,1.23
H. akashiwo,Raphidophyceae,14,19,1,0.04,0.6,0.1,16,1.06,1.23
N. atomus,Chlorophyceae,1,3,1,0.04,0.6,0.1,16,1.06,1.23
Pavlova sp.,Prymnesiophyceae,9,14,1,0.04,0.6,0.1,16,1.06,1.23
C. polylepis,Prymnesiophyceae,6,11,1,0.04,0.6,0.1,16,1.06,1.23
S. elongatus,Cyanophyceae,4,9,1,0.04,0.6,0.1,16,1.06,1.23
F. pinnata,Fragilariophyceae,3,7,1,0.04,0.6,0.1,16,1.06,1.23
P. calceolata,Pelagophyceae,1,4,1,0.04,0.6,0.1,16,1.06,1.23
H. virescens,Cryptophyceae,2,5,1,0.04,0.6,0.1,16,1.06,1.23
A. tamarense1,Dinophyceae,27,35,1,0.04,0.6,0.1,16,1.06,1.23
A. carterae,Dinophyceae,8,13,1,0.04,0.6,0.1,16,1.06,1.23
T. weissflogii,Coscinodiscophyceae,11,16,1,0.04,0.6,0.1,16,1.06,1.23
R. lens,Cryptophyceae,5,10,1,0.04,0.6,0.1,16,1.06,1.23
P. subviridis,Pelagophyceae,1,3,0.2,0.04,0.6,0.1,16,1.06,1.23
H. triquetra,Dinophyceae,6,11,1,0.04,0.6,0.1,16,1.06,1.23
P. provasolii,Prasinophyceae,2,5,1,0.04,0.6,0.1,16,1.06,1.23
M. polymorphus,Coscinodiscophyceae,5,9,1,0.04,0.6,0.1,16,1.06,1.23
Nannochloropsis sp.,Eustigmatophyceae,0.5,3,0.2,0.04,0.6,0.1,16,1.06,1.23
I. galbana1,Prymnesiophyceae,3,7,1,0.04,0.6,0.1,16,1.06,1.23
M. pusilla,Prasinophyceae,1,3,0.5,0.04,0.6,0.1,16,1.06,1.23
T. pseudonanna1,Coscinodiscophyceae,5,10,1,0.04,0.6,0.1,16,1.06,1.23
T. rotula,Coscinodiscophyceae,16,22,1,0.04,0.6,0.1,16,1.06,1.23
C. calcitrans,Coscinodiscophyceae,4,8,1,0.04,0.6,0.1,16,1.06,1.23
K. rotundum,Dinophyceae,10,15,1,0.04,0.6,0.1,16,1.06,1.23
